bank,arm,opponent_family,requested_seed,seat,score,our_cash,opponent_cash,margin,paired_score_delta_vs_c0,paired_margin_delta_vs_c0,action_differences_vs_c0,first_action_difference,stored_states,statuses,shop_history_sha256,replay_path
regression,a2,qeinstein_moev2,2026092301,0,1.0,86247.0,65831.0,20416.0,0.0,0.0,2,254,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\a2\qeinstein_moev2\seed_2026092301_seat_0.json.gz
regression,a2,qeinstein_moev2,2026092301,1,1.0,86247.0,65831.0,20416.0,0.0,0.0,2,254,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\a2\qeinstein_moev2\seed_2026092301_seat_1.json.gz
regression,a2_keep,qeinstein_moev2,2026092301,0,1.0,86247.0,65831.0,20416.0,0.0,0.0,0,,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\a2_keep\qeinstein_moev2\seed_2026092301_seat_0.json.gz
regression,a2_keep,qeinstein_moev2,2026092301,1,1.0,86247.0,65831.0,20416.0,0.0,0.0,0,,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\a2_keep\qeinstein_moev2\seed_2026092301_seat_1.json.gz
regression,a2_nonlearned,qeinstein_moev2,2026092301,0,1.0,83811.0,68898.0,14913.0,0.0,-5503.0,34,242,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\a2_nonlearned\qeinstein_moev2\seed_2026092301_seat_0.json.gz
regression,a2_nonlearned,qeinstein_moev2,2026092301,1,1.0,83811.0,68898.0,14913.0,0.0,-5503.0,34,242,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\a2_nonlearned\qeinstein_moev2\seed_2026092301_seat_1.json.gz
regression,b1,qeinstein_moev2,2026092301,0,1.0,86243.0,65831.0,20412.0,0.0,-4.0,2,409,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\b1\qeinstein_moev2\seed_2026092301_seat_0.json.gz
regression,b1,qeinstein_moev2,2026092301,1,1.0,86243.0,65831.0,20412.0,0.0,-4.0,2,409,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\b1\qeinstein_moev2\seed_2026092301_seat_1.json.gz
regression,b2,qeinstein_moev2,2026092301,0,1.0,86082.0,65965.0,20117.0,0.0,-299.0,2,264,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\b2\qeinstein_moev2\seed_2026092301_seat_0.json.gz
regression,b2,qeinstein_moev2,2026092301,1,1.0,86078.0,65965.0,20113.0,0.0,-303.0,3,264,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\b2\qeinstein_moev2\seed_2026092301_seat_1.json.gz
regression,b2_frequency,qeinstein_moev2,2026092301,0,1.0,86082.0,65965.0,20117.0,0.0,-299.0,1,264,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\b2_frequency\qeinstein_moev2\seed_2026092301_seat_0.json.gz
regression,b2_frequency,qeinstein_moev2,2026092301,1,1.0,86082.0,65965.0,20117.0,0.0,-299.0,1,264,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\b2_frequency\qeinstein_moev2\seed_2026092301_seat_1.json.gz
