arm,opponent_id,seed,seat,result,self_final_cash,margin,max_workers,max_unlocked_quadrants,max_animals,hire_order_turns,buy_land_order_turns,first_wheat_day,max_wheat_tiles,day15_wheat_tiles,day18_wheat_tiles,day24_wheat_tiles,plant_wheat_actions,first_carrot_day,max_carrot_tiles,day15_carrot_tiles,day18_carrot_tiles,day24_carrot_tiles,plant_carrot_actions,first_tomato_day,max_tomato_tiles,day15_tomato_tiles,day18_tomato_tiles,day24_tomato_tiles,plant_tomato_actions,first_strawberry_day,max_strawberry_tiles,day15_strawberry_tiles,day18_strawberry_tiles,day24_strawberry_tiles,plant_strawberry_actions,first_melon_day,max_melon_tiles,day15_melon_tiles,day18_melon_tiles,day24_melon_tiles,plant_melon_actions
more_wheat,B1,512609242,0,L,115373.0,-1.0,14,4,17,284,3,0,25,24,25,21,129,18,42,0,0,17,65,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,B1,512609242,1,L,115373.0,-1.0,14,4,17,284,3,0,25,24,25,21,129,18,42,0,0,17,65,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,B1,512609243,0,W,97340.0,32.0,11,3,17,266,2,0,38,24,25,38,163,24,29,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,B1,512609243,1,W,97340.0,32.0,11,3,17,266,2,0,38,24,25,38,163,24,29,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,B1,512609244,0,W,99896.0,1048.0,12,3,17,281,2,0,41,24,25,38,166,25,27,0,0,0,28,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,B1,512609244,1,W,99896.0,1048.0,12,3,17,281,2,0,41,24,25,38,166,25,27,0,0,0,28,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,metav4,512609241,0,W,109435.0,1082.0,14,4,17,284,3,0,25,21,18,21,127,14,37,3,7,17,67,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,metav4,512609241,1,W,109435.0,1082.0,14,4,17,284,3,0,25,21,18,21,127,14,37,3,7,17,67,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,metav4,512609242,0,W,115767.0,787.0,14,4,17,284,3,0,25,24,25,21,129,18,42,0,0,17,65,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,metav4,512609242,1,W,115767.0,787.0,14,4,17,284,3,0,25,24,25,21,129,18,42,0,0,17,65,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,metav4,512609243,0,W,97690.0,932.0,11,3,17,266,2,0,38,24,25,38,163,24,29,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,metav4,512609243,1,W,97690.0,932.0,11,3,17,266,2,0,38,24,25,38,163,24,29,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,metav4,512609244,0,W,100016.0,1378.0,12,3,17,281,2,0,41,24,25,38,166,25,27,0,0,0,28,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,metav4,512609244,1,W,100016.0,1378.0,12,3,17,281,2,0,41,24,25,38,166,25,27,0,0,0,28,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,order_book,512609241,0,W,108336.0,421.0,14,4,17,284,3,0,25,21,18,21,127,14,37,3,7,17,67,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,order_book,512609241,1,W,108336.0,421.0,14,4,17,284,3,0,25,21,18,21,127,14,37,3,7,17,67,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,order_book,512609242,0,W,115445.0,613.0,14,4,17,284,3,0,25,24,25,21,129,18,42,0,0,17,65,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,order_book,512609242,1,W,115445.0,613.0,14,4,17,284,3,0,25,24,25,21,129,18,42,0,0,17,65,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,order_book,512609243,0,W,97348.0,106.0,11,3,17,266,2,0,38,24,25,38,163,24,29,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,order_book,512609243,1,W,97348.0,106.0,11,3,17,266,2,0,38,24,25,38,163,24,29,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,order_book,512609244,0,W,99900.0,1058.0,12,3,17,281,2,0,41,24,25,38,166,25,27,0,0,0,28,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,order_book,512609244,1,W,99900.0,1058.0,12,3,17,281,2,0,41,24,25,38,166,25,27,0,0,0,28,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,v57,512609241,0,W,109365.0,843.0,14,4,17,284,3,0,25,21,18,21,127,14,37,3,7,17,67,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,v57,512609241,1,W,109365.0,843.0,14,4,17,284,3,0,25,21,18,21,127,14,37,3,7,17,67,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,v57,512609242,0,L,115650.0,-73.0,14,4,17,284,3,0,25,24,25,21,129,18,42,0,0,17,65,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,v57,512609242,1,L,115650.0,-73.0,14,4,17,284,3,0,25,24,25,21,129,18,42,0,0,17,65,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,v57,512609243,0,W,97271.0,91.0,11,3,17,266,2,0,38,24,25,38,163,24,29,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,v57,512609243,1,W,97271.0,91.0,11,3,17,266,2,0,38,24,25,38,163,24,29,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
more_wheat,v57,512609244,0,W,99830.0,1177.0,12,3,17,281,2,0,41,24,25,38,166,25,27,0,0,0,28,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
